"Se fué el erudito Iglesias pero dejó a su banda, basura comunista.","Gijón, London , LA."
@OxGeneral21 @Burning_Myn fue una especie de caza de brujas contra comunistas que hubo en estados unidos durante la guerra fría contra gente acusada de traicion y esas cosas por ser comunistas (aunque consideraban cualquier cosa comunista en esa epoca así que te imaginas la valides de las acusaciones),
@SARGENTOCHALA @petrogustavo Tu votaste por una dictadura comunista eso lo sabe cualquiera,
@MyWorldOfDjs Vamos a ver la bandera Republicana y la comunista no son compatibles una vez que nació el Frente Popular se cargaron la República.A las mierda las dos banderas y los portadores.,utopia
"@MVDNoticias @montevideoIM Incluyan a don Julio Toyos, poeta del partido comunista.",
"@otramirpolitica Es una azuzadora de porquería,tuca pituca, en busca de fama y poder. Elegida solo por jeropas. La pega de comunista, cuando solo quiere lujos, billete y placer.",Peru
@javierpadillab Va a venir un manirroto comunista a gestionar mejor. Todo lo que toca la izquierda lo arruina.,"Madrid, Comunidad de Madrid"
"TODOS A LA CALLE EL15 DE FEBRERO CONTRA LA TIRANÍA COMUNISTA, POR UNA COLOMBIA LIBRE DE COMUNISMO A LA CALLE EL15DEVFEBRERO https://t.co/1lWnqwzayo",Bogotá
@SecreducMaule @VoceriaMaule @subeduc @DPRMaule @DPPCurico @DPPLinares Cuál será la asesoría la del modelo ideologizador comunista fracasado q atenta contra la educación de cálida q prometieron en campaña pues sabemos q las acciones tomadas son insuficientes para lo med de 50.000 niños y jóvenes q están por fuera de las aulas #SiNoVanNoAprenden,
@mjpenamartinez Por lo visto eres comunista.. jaja ... Se nota por lo finita y educada.... Tus padres deben estar orgullosos de ti jajaja,
"@afigueredo88 Vean en accion y frente a las camaras al pervertido JoeBaiden, el Presidente Comunista que protege a los profugos.
Los medio vendidos a GeorgeSoros jamas publicaran esto. https://t.co/7j9r148sga",
"@SiemprexlaIzqui @LilianOrostica Me ha pasado lo mismo, que a veces me han tratando de comunista como si fuera un insulto y para mí es todo un honor https://t.co/m3ctiD7WnV","Puente Alto, Chile"
@SoyUnCocodriloS Estudia no seas comunista !!!!,Bolivia
Voten a esa basura comunista del @congresoperu carajo!!! Esas ratas izquierdistas de la IZQUIERDA PARÁSITA. No deben de existir.. https://t.co/BD4H07eDtF,
"@FlorenciaLagosN Todavía no aprenden que no es asesinato cuando la policía se defiende de lincuentes que la ataca. Los menores son llevados por la izquierda como escudos, es una antigua técnica comunista.",
"@Rickytucs @agustinromm Ricky cuando quieras te mando calcos mías así no me extrañas
No soy comunista, soy peronista",
Oye que le ponen color con gente de zona si después no votan por jadue por que es comunista,
Sabemos ya quienes van a dimitir por la burrada comunista de la ley del sí es sí?,
"@HernanFunes @MonicaFein @JSchiaretti @Cadena3_Rosario @MonicaFein la intendente más nefasta q tuvo la ciudad de #Rosario con ventaja,  es vergonzoso q está mamarracho siga viviendo de la política,  si hasta el inútil comunista de @pablojavkin tiene mejores cosas, como por ejemplo q este será su único y último gobierno,  inútil.","Malvinas Argentinas, Argentina"
"¿Un comunista como Juan Rejano escribiendo en una Córdoba bajo dominio franquista y en un periódico republicano? 
Leonardo Velasco te lo cuenta en El Pontón nº 402, enero 2023. https://t.co/gI9vEQcziS",Puente Genil
"@RonaldB74512761 @delosquesobran Indique fuentes de esa información que no sea El Mercurio,que ya sabemos que inventó ataques extremistas
Como ud no quiere entender, le repito, no me referí a grupos extremistas,  como el MIR o FPMR, me referí expresa% al partido partido comunista. No es tan difícil de entender",
otro comunista Burgues ...... https://t.co/Oa8wgrNYMn https://t.co/2700Mm4Bgf,Putahuel si putahuel y qué ?
@pablomackenna @rodhin1892 Sácate el ají del orto comunista reculiao! Jajaja te pago los pasajes a Cuba pa que vivas con el Pueulo,
"@Juan77227278 @MaxLesnick Un cura comunista para que lo prepare para su viaje final,centro de la tierra""centro nocturno donde los desalmados lidian con su condena,que dios no lo perdone",
"@okdiario con el capital que ha afanado la camarilla comunista, se puede pirar yà, nefasto traidor",
"@CasanalAmor Los taxistas = comunistas
Los universitarios = comunistas
Los médicos = comunistas
Los trabajadores de Zara= comunistas
Si defiendes la Sanidad Publica =comunista",
"Los arribistas decían: Una mujer va gobernar a los 200 años de nuestra Independencia. Pues ahora esa mujer comunista, no sabe gobernar, no tiene idea como llego al cargo, está demostrando q no está preparadas para tomar decisiones difíciles. Permite ataques a la Policía. No más https://t.co/4XgkJHFuQ4",
"@reaccionarista Yo el primero,como dice una celebre frase, es muy fácil ser comunista en un país libre,pero muy difícil ser libre en un país comunista...","Siero, España"
"@MonederoJC ¡Viva la coalición PP Vox!. Monedero, comunista, ¡Ya tardas en irte a otro País comunista!. Allí disfrutarás de la falta de libertad de expresión, partido único, y si llegas a gerifalte, vivirás de maravilla a costa de explotar al pueblo.",
"Que bien le va el nombre a ese Partido de desquiciados
VIOLENCIA  COMUNISTA https://t.co/jQFChpz9OH https://t.co/yV8uvKJ7t0",
@andresamengual es un  comunista por donde se mire!!,
@SilviaSanz_ No digo lo que pienso de esta comunista de m...... porque entonces me pondría a su nivel,
@PolloFarsantePe Esto se soluciona con SERVICIO MILITAR OBLIGATORIO. hay mucho vago comunista.,
@AdebaReborn Ya maduró en el momento que dejó de ser liberal que sea comunista es otro tema. Los liberales anarcocapitalistas son niños rata de 10 años,"Granada, España"
"@PRYadi1 @condadofashion @RobiCamacho @SRCSandra Te repito, yo soy todo lo que quieras, pero eso no quita que tu seas un puerco y miserable comunista de mierda.","Puerto Rico, USA"
"@anticalumnia @Cachoescalona1 @ValdebenitoNata Se humilló el ""Los premios Caleuuhe"" pidiendo, rogando, suplicando ""respeto""!!! Cuando ella jamás respetó, pero que satisfacción ver a una comunista triunfalista, muerta de miedo y sin dignidad!.paaabre!",
